Date : 2024-03-03 16:59:25
Directory : /Users/guosurui/Code/genius_lens
Total : 85 files,  5887 codes, 248 comments, 578 blanks, all 6713 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         53 |      5,267 |         98 |        488 |      5,853 |
| XML             |         15 |        251 |         48 |         15 |        314 |
| JSON            |          3 |        166 |          0 |          2 |        168 |
| Gradle          |          3 |        101 |          5 |         23 |        129 |
| YAML            |          3 |         57 |         95 |         29 |        181 |
| Swift           |          2 |         19 |          2 |          6 |         27 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Kotlin          |          1 |          4 |          0 |          3 |          7 |
| C++             |          1 |          1 |          0 |          1 |          2 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |         85 |      5,887 |        248 |        578 |      6,713 |
| . (Files)                                                                                                       |          4 |         67 |         95 |         36 |        198 |
| android                                                                                                         |         15 |        199 |         51 |         37 |        287 |
| android (Files)                                                                                                 |          3 |         53 |          0 |         12 |         65 |
| android/app                                                                                                     |         11 |        141 |         51 |         24 |        216 |
| android/app (Files)                                                                                             |          1 |         51 |          5 |         12 |         68 |
| android/app/src                                                                                                 |         10 |         90 |         46 |         12 |        148 |
| android/app/src/debug                                                                                           |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                            |          8 |         84 |         38 |         10 |        132 |
| android/app/src/main (Files)                                                                                    |          1 |         12 |          6 |          1 |         19 |
| android/app/src/main/kotlin                                                                                     |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/kotlin/com                                                                                 |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/kotlin/com/example                                                                         |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/kotlin/com/example/genius_lens                                                             |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/res                                                                                        |          6 |         68 |         32 |          6 |        106 |
| android/app/src/main/res/drawable                                                                               |          1 |          9 |          0 |          1 |         10 |
| android/app/src/main/res/drawable-v21                                                                           |          1 |          9 |          0 |          1 |         10 |
| android/app/src/main/res/values                                                                                 |          1 |         13 |          9 |          1 |         23 |
| android/app/src/main/res/values-night                                                                           |          1 |         13 |          9 |          1 |         23 |
| android/app/src/main/res/values-night-v31                                                                       |          1 |         12 |          7 |          1 |         20 |
| android/app/src/main/res/values-v31                                                                             |          1 |         12 |          7 |          1 |         20 |
| android/app/src/profile                                                                                         |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                          |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                             |         13 |        354 |          4 |         17 |        375 |
| ios/Flutter                                                                                                     |          1 |         26 |          0 |          1 |         27 |
| ios/Runner                                                                                                      |          9 |        305 |          2 |         10 |        317 |
| ios/Runner (Files)                                                                                              |          3 |         68 |          0 |          4 |         72 |
| ios/Runner.xcodeproj                                                                                            |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace                                                                        |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                           |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace                                                                                          |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace/xcshareddata                                                                             |          1 |          8 |          0 |          1 |          9 |
| ios/Runner/Assets.xcassets                                                                                      |          4 |        169 |          0 |          4 |        173 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                   |          1 |        122 |          0 |          0 |        122 |
| ios/Runner/Assets.xcassets/LaunchBackground.imageset                                                            |          1 |         21 |          0 |          1 |         22 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                 |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                           |          2 |         68 |          2 |          2 |         72 |
| ios/RunnerTests                                                                                                 |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                             |         52 |      5,253 |         88 |        481 |      5,822 |
| lib (Files)                                                                                                     |          3 |        182 |          8 |         26 |        216 |
| lib/api                                                                                                         |          7 |        332 |         12 |         56 |        400 |
| lib/api (Files)                                                                                                 |          3 |        166 |         11 |         30 |        207 |
| lib/api/request                                                                                                 |          4 |        166 |          1 |         26 |        193 |
| lib/data                                                                                                        |         10 |        314 |          9 |         80 |        403 |
| lib/data (Files)                                                                                                |          1 |         38 |          0 |          3 |         41 |
| lib/data/ctx                                                                                                    |          1 |         10 |          0 |          3 |         13 |
| lib/data/entity                                                                                                 |          7 |        250 |          7 |         68 |        325 |
| lib/data/exception                                                                                              |          1 |         16 |          2 |          6 |         24 |
| lib/pages                                                                                                       |         29 |      4,365 |         57 |        301 |      4,723 |
| lib/pages (Files)                                                                                               |          1 |        115 |          2 |          9 |        126 |
| lib/pages/common                                                                                                |          1 |         12 |          0 |          4 |         16 |
| lib/pages/community                                                                                             |          3 |        569 |         14 |         34 |        617 |
| lib/pages/detail                                                                                                |          5 |        358 |          2 |         24 |        384 |
| lib/pages/entrance                                                                                              |          2 |        893 |         19 |         52 |        964 |
| lib/pages/function                                                                                              |          2 |        129 |          0 |         14 |        143 |
| lib/pages/generate                                                                                              |          5 |        817 |          5 |         51 |        873 |
| lib/pages/login                                                                                                 |          1 |        186 |          1 |          9 |        196 |
| lib/pages/message                                                                                               |          1 |        171 |          2 |         12 |        185 |
| lib/pages/profile                                                                                               |          8 |      1,115 |         12 |         92 |      1,219 |
| lib/provider                                                                                                    |          1 |         23 |          0 |          8 |         31 |
| lib/utils                                                                                                       |          2 |         37 |          2 |         10 |         49 |
| test                                                                                                            |          1 |         14 |         10 |          7 |         31 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                        | language        | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /Users/guosurui/Code/genius_lens/README.md                                                                      | Markdown        |         10 |          0 |          7 |         17 |
| /Users/guosurui/Code/genius_lens/analysis_options.yaml                                                          | YAML            |          3 |         22 |          4 |         29 |
| /Users/guosurui/Code/genius_lens/android/app/build.gradle                                                       | Gradle          |         51 |          5 |         12 |         68 |
| /Users/guosurui/Code/genius_lens/android/app/src/debug/AndroidManifest.xml                                      | XML             |          3 |          4 |          1 |          8 |
| /Users/guosurui/Code/genius_lens/android/app/src/main/AndroidManifest.xml                                       | XML             |         12 |          6 |          1 |         19 |
| /Users/guosurui/Code/genius_lens/android/app/src/main/kotlin/com/example/genius_lens/MainActivity.kt            | Kotlin          |          4 |          0 |          3 |          7 |
| /Users/guosurui/Code/genius_lens/android/app/src/main/res/drawable-v21/launch_background.xml                    | XML             |          9 |          0 |          1 |         10 |
| /Users/guosurui/Code/genius_lens/android/app/src/main/res/drawable/launch_background.xml                        | XML             |          9 |          0 |          1 |         10 |
| /Users/guosurui/Code/genius_lens/android/app/src/main/res/values-night-v31/styles.xml                           | XML             |         12 |          7 |          1 |         20 |
| /Users/guosurui/Code/genius_lens/android/app/src/main/res/values-night/styles.xml                               | XML             |         13 |          9 |          1 |         23 |
| /Users/guosurui/Code/genius_lens/android/app/src/main/res/values-v31/styles.xml                                 | XML             |         12 |          7 |          1 |         20 |
| /Users/guosurui/Code/genius_lens/android/app/src/main/res/values/styles.xml                                     | XML             |         13 |          9 |          1 |         23 |
| /Users/guosurui/Code/genius_lens/android/app/src/profile/AndroidManifest.xml                                    | XML             |          3 |          4 |          1 |          8 |
| /Users/guosurui/Code/genius_lens/android/build.gradle                                                           | Gradle          |         26 |          0 |          5 |         31 |
| /Users/guosurui/Code/genius_lens/android/gradle.properties                                                      | Java Properties |          3 |          0 |          1 |          4 |
| /Users/guosurui/Code/genius_lens/android/gradle/wrapper/gradle-wrapper.properties                               | Java Properties |          5 |          0 |          1 |          6 |
| /Users/guosurui/Code/genius_lens/android/settings.gradle                                                        | Gradle          |         24 |          0 |          6 |         30 |
| /Users/guosurui/Code/genius_lens/devtools_options.yaml                                                          | YAML            |          1 |          0 |          1 |          2 |
| /Users/guosurui/Code/genius_lens/ios/Flutter/AppFrameworkInfo.plist                                             | XML             |         26 |          0 |          1 |         27 |
| /Users/guosurui/Code/genius_lens/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist | XML             |          8 |          0 |          1 |          9 |
| /Users/guosurui/Code/genius_lens/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist                   | XML             |          8 |          0 |          1 |          9 |
| /Users/guosurui/Code/genius_lens/ios/Runner/AppDelegate.swift                                                   | Swift           |         12 |          0 |          2 |         14 |
| /Users/guosurui/Code/genius_lens/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                    | JSON            |        122 |          0 |          0 |        122 |
| /Users/guosurui/Code/genius_lens/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json             | JSON            |         21 |          0 |          1 |         22 |
| /Users/guosurui/Code/genius_lens/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                  | JSON            |         23 |          0 |          1 |         24 |
| /Users/guosurui/Code/genius_lens/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                      | Markdown        |          3 |          0 |          2 |          5 |
