Date : 2024-03-03 16:59:25
Directory : /Users/guosurui/Code/genius_lens
Total : 85 files,  5887 codes, 248 comments, 578 blanks, all 6713 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/guosurui/Code/genius_lens/ios/Runner/Base.lproj/LaunchScreen.storyboard                                  | XML             |         43 |          1 |          1 |         45 |
| /Users/guosurui/Code/genius_lens/ios/Runner/Base.lproj/Main.storyboard                                          | XML             |         25 |          1 |          1 |         27 |
| /Users/guosurui/Code/genius_lens/ios/Runner/Info.plist                                                          | XML             |         55 |          0 |          1 |         56 |
| /Users/guosurui/Code/genius_lens/ios/Runner/Runner-Bridging-Header.h                                            | C++             |          1 |          0 |          1 |          2 |
| /Users/guosurui/Code/genius_lens/ios/RunnerTests/RunnerTests.swift                                              | Swift           |          7 |          2 |          4 |         13 |
| /Users/guosurui/Code/genius_lens/lib/api/http.dart                                                              | Dart            |         72 |          9 |         10 |         91 |
| /Users/guosurui/Code/genius_lens/lib/api/inteceptors.dart                                                       | Dart            |         57 |          1 |          6 |         64 |
| /Users/guosurui/Code/genius_lens/lib/api/request/common.dart                                                    | Dart            |         31 |          1 |          4 |         36 |
| /Users/guosurui/Code/genius_lens/lib/api/request/community.dart                                                 | Dart            |         17 |          0 |          5 |         22 |
| /Users/guosurui/Code/genius_lens/lib/api/request/generate.dart                                                  | Dart            |         90 |          0 |         12 |        102 |
| /Users/guosurui/Code/genius_lens/lib/api/request/user.dart                                                      | Dart            |         28 |          0 |          5 |         33 |
| /Users/guosurui/Code/genius_lens/lib/api/state.dart                                                             | Dart            |         37 |          1 |         14 |         52 |
| /Users/guosurui/Code/genius_lens/lib/constants.dart                                                             | Dart            |         11 |          3 |          5 |         19 |
| /Users/guosurui/Code/genius_lens/lib/data/ctx/user_context.dart                                                 | Dart            |         10 |          0 |          3 |         13 |
| /Users/guosurui/Code/genius_lens/lib/data/debug_model.dart                                                      | Dart            |         38 |          0 |          3 |         41 |
| /Users/guosurui/Code/genius_lens/lib/data/entity/common.dart                                                    | Dart            |         26 |          0 |          6 |         32 |
| /Users/guosurui/Code/genius_lens/lib/data/entity/community.dart                                                 | Dart            |         39 |          4 |          8 |         51 |
| /Users/guosurui/Code/genius_lens/lib/data/entity/favorite.dart                                                  | Dart            |         22 |          0 |          6 |         28 |
| /Users/guosurui/Code/genius_lens/lib/data/entity/generate.dart                                                  | Dart            |         92 |          1 |         28 |        121 |
| /Users/guosurui/Code/genius_lens/lib/data/entity/result.dart                                                    | Dart            |         24 |          0 |          5 |         29 |
| /Users/guosurui/Code/genius_lens/lib/data/entity/user.dart                                                      | Dart            |         23 |          0 |          7 |         30 |
| /Users/guosurui/Code/genius_lens/lib/data/entity/user_model.dart                                                | Dart            |         24 |          2 |          8 |         34 |
| /Users/guosurui/Code/genius_lens/lib/data/exception/api_exception.dart                                          | Dart            |         16 |          2 |          6 |         24 |
| /Users/guosurui/Code/genius_lens/lib/main.dart                                                                  | Dart            |         56 |          1 |         10 |         67 |
| /Users/guosurui/Code/genius_lens/lib/pages/common/image_select_page.dart                                        | Dart            |         12 |          0 |          4 |         16 |
| /Users/guosurui/Code/genius_lens/lib/pages/community/community_card.dart                                        | Dart            |        108 |          1 |          4 |        113 |
| /Users/guosurui/Code/genius_lens/lib/pages/community/community_page.dart                                        | Dart            |        165 |          4 |         20 |        189 |
| /Users/guosurui/Code/genius_lens/lib/pages/community/detail_page.dart                                           | Dart            |        296 |          9 |         10 |        315 |
| /Users/guosurui/Code/genius_lens/lib/pages/detail/detail_copyright.dart                                         | Dart            |         47 |          1 |          3 |         51 |
| /Users/guosurui/Code/genius_lens/lib/pages/detail/detail_intro.dart                                             | Dart            |         86 |          0 |          4 |         90 |
| /Users/guosurui/Code/genius_lens/lib/pages/detail/detail_page.dart                                              | Dart            |        125 |          1 |          7 |        133 |
| /Users/guosurui/Code/genius_lens/lib/pages/detail/detail_sharing_card.dart                                      | Dart            |         88 |          0 |          6 |         94 |
| /Users/guosurui/Code/genius_lens/lib/pages/detail/detail_sharings.dart                                          | Dart            |         12 |          0 |          4 |         16 |
| /Users/guosurui/Code/genius_lens/lib/pages/entrance/entrance_page.dart                                          | Dart            |        439 |         16 |         35 |        490 |
| /Users/guosurui/Code/genius_lens/lib/pages/entrance/model_create_page.dart                                      | Dart            |        454 |          3 |         17 |        474 |
| /Users/guosurui/Code/genius_lens/lib/pages/function/function_card.dart                                          | Dart            |         75 |          0 |          8 |         83 |
| /Users/guosurui/Code/genius_lens/lib/pages/function/function_page.dart                                          | Dart            |         54 |          0 |          6 |         60 |
| /Users/guosurui/Code/genius_lens/lib/pages/generate/generate_page.dart                                          | Dart            |        222 |          1 |         20 |        243 |
| /Users/guosurui/Code/genius_lens/lib/pages/generate/generate_result_page.dart                                   | Dart            |        130 |          0 |          6 |        136 |
| /Users/guosurui/Code/genius_lens/lib/pages/generate/model_select_page.dart                                      | Dart            |        152 |          0 |         11 |        163 |
| /Users/guosurui/Code/genius_lens/lib/pages/generate/multi_generate_page.dart                                    | Dart            |         90 |          0 |          6 |         96 |
| /Users/guosurui/Code/genius_lens/lib/pages/generate/solo_generate_page.dart                                     | Dart            |        223 |          4 |          8 |        235 |
| /Users/guosurui/Code/genius_lens/lib/pages/index.dart                                                           | Dart            |        115 |          2 |          9 |        126 |
| /Users/guosurui/Code/genius_lens/lib/pages/login/login_page.dart                                                | Dart            |        186 |          1 |          9 |        196 |
| /Users/guosurui/Code/genius_lens/lib/pages/message/message_page.dart                                            | Dart            |        171 |          2 |         12 |        185 |
| /Users/guosurui/Code/genius_lens/lib/pages/profile/about_page.dart                                              | Dart            |         67 |          0 |          4 |         71 |
| /Users/guosurui/Code/genius_lens/lib/pages/profile/follower_list_page.dart                                      | Dart            |         78 |          0 |          6 |         84 |
| /Users/guosurui/Code/genius_lens/lib/pages/profile/help_page.dart                                               | Dart            |        117 |          0 |          7 |        124 |
| /Users/guosurui/Code/genius_lens/lib/pages/profile/manage_model_page.dart                                       | Dart            |        293 |          2 |         17 |        312 |
| /Users/guosurui/Code/genius_lens/lib/pages/profile/manage_task_page.dart                                        | Dart            |        161 |          0 |         12 |        173 |
| /Users/guosurui/Code/genius_lens/lib/pages/profile/profile_history.dart                                         | Dart            |         37 |          0 |          5 |         42 |
| /Users/guosurui/Code/genius_lens/lib/pages/profile/profile_page.dart                                            | Dart            |        265 |         10 |         28 |        303 |
| /Users/guosurui/Code/genius_lens/lib/pages/profile/settings_page.dart                                           | Dart            |         97 |          0 |         13 |        110 |
| /Users/guosurui/Code/genius_lens/lib/provider/user_provider.dart                                                | Dart            |         23 |          0 |          8 |         31 |
| /Users/guosurui/Code/genius_lens/lib/router.dart                                                                | Dart            |        115 |          4 |         11 |        130 |
| /Users/guosurui/Code/genius_lens/lib/utils/debug_util.dart                                                      | Dart            |         21 |          0 |          3 |         24 |
| /Users/guosurui/Code/genius_lens/lib/utils/package_util.dart                                                    | Dart            |         16 |          2 |          7 |         25 |
| /Users/guosurui/Code/genius_lens/pubspec.yaml                                                                   | YAML            |         53 |         73 |         24 |        150 |
| /Users/guosurui/Code/genius_lens/test/widget_test.dart                                                          | Dart            |         14 |         10 |          7 |         31 |
| Total                                                                                                           |                 |      5,887 |        248 |        578 |      6,713 |
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
